id_parcela,ph_suelo,materia_organica_pct,carbono_organico_pct,nitrogeno_ppm,fosforo_ppm,potasio_ppm,calcio_ppm,magnesio_ppm,azufre_ppm,conductividad_electrica,cic,caliza_activa_pct,arcilla_pct,arena_pct,limo_pct,humedad_suelo_pct,capacidad_campo_pct,profundidad_suelo_cm,pendiente_pct,altitud_m,precipitacion_anual_mm,temp_media_c,temp_min_invierno_c,temp_max_verano_c,radiacion_anual,evapotranspiracion_mm,indice_aridez,orientacion,tipo_suelo
PAR000000,5.3,4.9,1.56,18,24,212,720,209,11.2,0.67,23.0,1.8,38.4,44.1,5.0,18.6,18.0,84,8.6,591,588,19.4,2.9,30.0,1580,925,1.06,N,franco
PAR000001,6.1,4.6,1.55,41,28,305,3325,179,12.4,0.75,24.7,0.8,26.2,39.2,36.6,34.3,33.2,88,0.0,849,818,15.5,6.1,31.3,1716,829,0.89,S,franco
PAR000002,6.0,1.6,0.81,6,15,169,459,61,20.1,0.63,24.0,18.2,9.1,44.9,47.3,20.7,40.1,15,24.1,440,819,16.7,5.2,35.5,1763,1235,0.38,N,calcareo
PAR000003,7.8,0.3,1.86,12,3,40,893,138,22.2,1.54,15.6,29.3,55.8,37.3,22.9,8.3,45.9,72,19.0,420,241,18.4,4.8,33.6,1837,1079,0.1,O,arenoso
PAR000004,5.4,5.4,0.46,28,34,243,3042,304,25.4,0.6,32.1,5.3,20.3,52.8,52.0,25.6,54.3,77,7.6,878,677,9.1,5.8,36.9,2020,613,0.82,E,arcilloso
PAR000005,8.3,1.7,2.77,8,2,96,529,145,19.0,2.61,19.5,22.3,41.0,24.6,40.9,5.0,38.8,31,16.6,0,513,20.7,-1.7,35.4,1495,1072,0.1,S,arcilloso
PAR000006,6.0,1.1,1.71,5,2,78,1145,218,17.5,1.85,21.0,11.9,33.9,58.6,31.4,19.8,50.8,100,7.3,77,393,17.1,1.9,37.9,1722,1104,0.52,O,arenoso
PAR000007,6.8,3.7,0.11,33,32,309,2524,438,14.6,1.29,19.4,0.0,16.2,79.0,44.5,26.7,43.3,108,4.9,653,970,14.6,9.2,34.2,1766,764,0.98,N,franco
PAR000008,7.2,2.2,0.38,10,16,142,1828,225,16.6,0.81,11.9,9.9,31.9,19.3,33.4,16.5,55.0,83,6.1,454,637,22.0,-2.4,35.2,1684,790,0.67,O,arcilloso
PAR000009,6.4,4.8,2.35,36,34,203,300,234,10.3,0.1,8.1,1.9,33.0,25.6,5.0,21.4,31.7,70,0.0,300,508,19.1,5.9,32.3,1741,772,0.94,S,franco
PAR000010,5.0,2.9,2.32,37,32,267,300,272,19.0,0.79,19.2,9.8,30.6,48.9,5.0,34.7,23.0,57,1.5,0,509,18.2,7.8,31.4,1826,625,0.88,S,calcareo
PAR000011,7.6,1.5,1.72,3,10,40,1024,256,11.6,3.12,13.3,27.5,40.7,21.4,16.0,20.2,43.2,39,7.4,267,187,19.6,-4.7,30.4,1306,1199,0.1,E,franco
PAR000012,7.4,3.7,1.34,44,26,195,2732,368,12.4,1.11,24.2,1.7,3.0,51.6,21.4,45.0,33.6,118,2.9,1149,478,7.7,4.6,29.5,2187,794,0.63,N,arenoso
PAR000013,7.3,2.2,2.7,9,18,85,972,200,20.5,0.94,23.1,14.6,28.1,17.0,16.3,5.1,41.7,53,7.0,0,283,17.4,4.3,34.0,1682,949,0.32,O,calcareo
PAR000014,9.0,2.1,0.92,19,2,132,300,140,19.1,1.38,22.4,0.6,29.3,42.3,39.0,19.4,35.6,15,20.1,130,247,17.4,-1.4,40.2,1980,1055,0.57,O,franco
PAR000015,6.1,1.1,2.08,5,3,130,1377,188,33.8,0.49,20.0,12.4,28.3,22.7,34.9,12.6,55.0,57,0.0,404,292,17.2,-4.5,33.6,1792,1250,0.3,S,arcilloso
PAR000016,8.1,1.4,1.39,15,23,137,981,116,14.1,1.7,17.4,18.2,31.5,37.9,55.0,5.7,48.6,32,30.9,784,512,21.4,3.5,38.8,1628,1057,0.14,N,arcilloso
PAR000017,5.7,3.7,1.06,38,36,299,300,223,17.2,0.1,26.2,2.9,32.3,17.8,5.0,29.8,21.5,77,0.0,645,749,16.7,6.0,31.9,1513,950,1.35,S,franco
PAR000018,6.7,4.5,0.75,38,32,221,2707,329,22.8,0.23,35.2,0.0,19.7,79.1,32.6,31.1,45.6,124,9.7,1053,675,14.2,8.6,31.4,1859,762,1.08,N,franco
PAR000019,5.4,4.3,0.84,24,35,247,2451,272,18.3,1.04,24.3,0.2,27.9,59.5,37.4,45.0,47.4,129,0.0,1379,806,12.4,11.1,37.4,1963,920,0.84,N,arenoso
PAR000020,7.4,1.8,1.75,7,12,197,848,228,16.4,1.39,12.6,16.5,20.8,33.1,40.7,23.3,52.4,52,10.7,707,364,15.8,-0.5,43.1,1971,1116,0.39,E,arenoso
PAR000021,5.6,4.3,2.77,37,17,215,384,332,2.0,1.54,26.7,0.0,31.1,28.4,5.0,21.3,29.8,101,0.0,125,977,15.9,5.6,25.4,1608,1014,0.76,N,calcareo
PAR000022,6.5,4.9,1.24,42,37,247,2389,407,25.5,0.1,25.0,7.7,3.0,71.0,22.5,23.2,44.2,63,10.1,646,911,13.7,8.2,32.5,1939,523,0.98,S,franco
PAR000023,6.4,5.4,2.04,15,26,214,300,78,5.6,0.1,19.4,0.8,21.1,28.9,5.0,24.9,26.4,103,4.5,11,621,21.2,5.1,31.7,1636,882,1.11,O,franco
PAR000024,6.3,5.2,0.88,43,35,277,2088,281,19.0,0.1,21.4,0.0,10.1,36.7,29.6,34.8,44.4,91,1.0,747,817,10.1,9.6,34.6,2200,866,0.8,N,arenoso
PAR000025,5.3,3.8,1.26,49,31,284,3117,397,14.2,0.95,26.8,0.0,17.6,34.6,24.5,29.8,51.0,84,0.0,1079,1033,14.7,8.4,32.4,2037,885,0.67,N,arenoso
PAR000026,5.3,3.2,2.13,35,25,223,571,312,2.0,1.04,18.7,3.3,37.8,51.4,5.0,30.5,16.4,57,0.0,461,664,15.4,6.9,24.6,1610,929,0.66,S,franco
PAR000027,4.5,4.6,1.79,36,39,231,300,246,8.8,0.82,17.7,1.1,22.3,32.0,5.0,21.5,23.2,96,3.9,669,707,15.2,-1.6,32.4,1452,715,0.96,N,arcilloso
PAR000028,8.7,2.4,1.68,14,7,70,1455,168,15.6,1.25,17.1,15.2,49.2,37.5,20.0,7.6,41.1,37,28.8,362,273,16.6,-2.8,28.9,1667,1184,0.26,O,franco
PAR000029,7.4,2.7,2.76,2,19,94,623,158,22.3,2.04,16.9,22.6,33.5,46.6,21.1,7.5,42.2,15,20.8,0,346,15.7,-0.9,37.1,1535,951,0.29,E,franco
PAR000030,7.4,1.0,0.93,4,2,40,989,170,23.5,1.83,11.8,14.4,39.7,31.8,15.0,15.1,35.5,15,20.6,39,541,20.0,-1.1,30.3,1480,1135,0.27,E,calcareo
PAR000031,7.5,1.0,1.33,2,2,170,1277,219,18.8,0.72,18.9,7.0,5.2,24.0,50.0,21.2,46.7,51,13.0,549,543,15.2,-0.3,37.6,1927,855,0.38,N,calcareo
PAR000032,7.2,2.0,1.42,13,9,161,819,120,31.0,1.18,31.5,15.4,45.2,68.9,49.0,16.4,50.4,42,32.4,393,357,15.4,-0.8,36.5,2019,1023,0.42,N,calcareo
PAR000033,8.9,0.6,2.31,10,4,113,1570,92,22.1,2.05,8.1,18.2,25.5,32.5,17.8,14.6,42.3,26,26.8,301,518,17.3,2.3,32.5,1459,1085,0.24,E,arcilloso
PAR000034,5.1,4.8,1.97,43,11,207,300,219,13.3,1.46,7.1,2.5,20.0,48.8,5.0,32.8,32.6,75,6.4,20,445,17.9,2.8,24.9,1544,697,0.52,N,arcilloso
PAR000035,8.8,1.1,2.12,4,9,149,1252,162,30.2,1.31,20.7,23.7,48.6,31.7,18.6,8.9,39.8,44,35.0,56,290,13.3,-2.9,23.5,1590,949,0.52,O,arcilloso
PAR000036,7.6,2.2,1.35,8,2,129,1720,45,17.9,0.7,23.6,13.3,12.9,49.6,41.0,13.5,49.7,56,5.3,436,177,18.2,5.7,40.5,1586,1265,0.66,O,arcilloso
PAR000037,6.1,4.9,1.88,32,35,324,351,306,15.6,0.37,24.7,2.2,30.9,46.7,5.0,28.1,29.6,96,0.0,300,720,16.4,5.2,30.0,1287,941,0.51,E,franco
PAR000038,6.2,4.5,2.51,41,31,174,422,82,6.4,0.53,20.7,5.3,32.7,28.4,5.0,27.1,20.3,74,0.5,0,495,18.9,7.7,29.4,1392,996,1.21,O,franco
PAR000039,6.5,4.4,0.85,40,33,160,2281,384,17.7,0.95,21.8,0.0,16.2,61.7,19.0,27.4,40.1,67,8.5,478,945,11.1,8.9,33.0,1858,714,1.23,E,franco
PAR000040,6.6,4.2,0.1,44,25,253,2626,410,18.2,1.42,30.2,2.0,32.2,72.4,37.6,35.4,46.0,79,5.5,877,825,12.3,5.2,36.7,1898,724,0.79,O,arcilloso
PAR000041,6.0,2.6,1.9,27,38,220,765,148,12.8,1.21,14.9,7.0,37.2,52.0,5.0,28.6,24.2,64,0.0,484,444,15.2,8.2,26.9,1357,779,0.68,O,franco
PAR000042,4.3,2.6,2.3,27,25,219,457,177,7.0,1.39,17.0,0.0,29.7,50.0,5.0,31.4,22.3,130,7.1,260,811,20.4,7.3,31.3,1467,800,0.69,O,franco
PAR000043,5.9,3.8,2.32,46,37,232,442,237,11.1,1.0,3.0,5.4,39.7,16.0,5.0,44.1,29.6,39,11.3,339,327,21.3,-1.1,34.7,1409,943,1.21,O,franco
PAR000044,5.2,2.2,2.26,35,32,225,883,293,6.4,0.1,22.1,2.0,42.7,27.5,5.0,21.5,28.5,115,0.0,167,780,15.6,2.7,32.6,1420,894,0.79,E,calcareo
PAR000045,8.4,1.8,2.65,5,12,178,717,40,28.7,1.9,17.0,15.0,33.4,65.3,23.8,13.9,39.7,67,29.6,188,183,18.6,5.6,31.7,1519,1162,0.34,E,arcilloso
PAR000046,6.2,3.9,1.97,38,37,316,3326,415,7.9,0.74,17.9,5.2,30.8,64.1,35.9,38.8,39.2,135,11.9,649,869,7.4,9.6,33.5,1701,911,0.8,O,arenoso
PAR000047,7.0,1.3,1.63,12,8,81,1439,126,18.0,1.6,10.1,17.0,8.4,45.2,56.0,11.8,45.2,32,25.2,504,303,19.5,5.3,36.3,1805,921,0.35,E,arcilloso
PAR000048,8.3,0.3,0.86,14,19,66,1467,117,21.6,1.18,10.8,22.5,29.5,11.5,23.7,8.6,37.4,46,19.8,152,306,23.5,1.8,28.9,1561,1358,0.1,O,arcilloso
PAR000049,7.4,4.0,1.0,31,20,267,2197,341,11.3,0.23,27.7,5.3,10.6,90.0,35.0,33.4,38.3,91,10.8,869,1013,11.5,8.8,28.2,1990,985,0.86,E,arcilloso
PAR000050,5.7,6.3,0.86,43,36,250,2044,364,17.9,0.47,19.0,6.2,3.0,66.7,27.6,41.0,37.2,102,0.0,933,900,11.5,4.7,27.9,1852,988,0.67,N,arenoso
PAR000051,8.7,2.9,2.44,15,5,152,1139,186,24.2,2.66,31.0,13.4,33.3,39.7,20.2,5.0,33.4,35,7.9,79,150,19.0,-2.2,30.7,1631,1061,0.42,N,calcareo
PAR000052,6.5,3.7,0.77,31,36,295,2920,304,22.8,1.18,29.2,0.0,20.2,79.8,33.5,24.7,38.0,124,14.9,670,950,12.8,4.9,34.0,1855,892,1.03,N,franco
PAR000053,7.4,3.9,1.28,19,2,156,802,114,12.6,1.64,30.0,15.3,24.3,48.2,39.5,10.5,41.8,15,9.6,440,709,18.1,4.8,37.9,1622,606,0.57,E,franco
PAR000054,8.1,2.7,0.7,19,15,61,325,40,25.6,0.46,15.7,19.6,24.0,38.3,41.0,13.4,48.5,68,20.3,326,539,15.9,-2.8,35.9,1863,1164,0.27,E,arenoso
PAR000055,8.0,1.0,1.59,2,7,144,1553,288,26.5,1.62,23.9,12.3,47.8,23.4,33.4,16.5,41.4,22,19.2,242,449,14.8,-1.9,33.9,1958,1388,0.1,E,arcilloso
PAR000056,7.5,1.5,2.45,2,14,46,1244,130,13.5,0.77,15.8,20.4,26.4,50.3,27.9,21.8,54.2,36,19.4,379,496,17.9,3.9,44.4,1810,941,0.44,S,calcareo
PAR000057,8.8,1.0,2.66,21,9,180,456,182,21.3,2.62,19.0,13.1,38.1,34.5,15.4,5.0,32.4,48,19.4,246,342,16.3,-0.4,30.7,1634,1263,0.65,S,arcilloso
PAR000058,7.8,3.3,2.31,15,3,161,1621,71,13.2,1.17,30.7,8.0,28.7,65.2,47.4,22.1,54.7,55,14.9,0,421,16.8,6.2,37.4,1653,1017,0.73,E,arcilloso
PAR000059,7.7,1.3,1.37,16,2,102,436,152,26.3,1.74,15.7,13.8,32.2,15.4,24.6,14.9,25.6,15,22.3,340,159,21.9,-1.2,23.9,1551,1185,0.16,N,arenoso
PAR000060,6.6,4.6,0.9,28,31,304,2494,383,15.4,1.37,29.1,0.0,15.3,66.1,14.7,24.4,51.1,126,6.0,612,938,10.3,8.1,40.2,1886,774,1.32,O,arenoso
PAR000061,5.6,3.8,1.99,21,24,162,507,251,5.8,0.99,19.1,10.4,32.9,41.5,5.0,33.5,16.0,102,0.0,0,593,18.9,8.1,27.0,976,836,0.68,S,franco
PAR000062,5.8,4.9,1.75,40,23,195,851,295,19.0,0.16,5.5,0.0,44.4,40.4,5.0,30.1,32.5,75,16.6,392,724,19.7,5.0,24.7,1750,837,0.98,S,franco
PAR000063,5.9,4.6,1.39,35,36,277,2403,403,13.5,0.1,23.1,4.0,3.0,44.6,25.2,35.7,52.6,87,12.7,847,1150,12.1,5.9,28.9,2152,874,1.02,O,arenoso
PAR000064,4.6,3.7,1.6,36,30,253,300,221,9.1,0.58,21.8,4.4,17.1,20.9,5.0,24.5,23.1,132,2.0,0,507,22.3,6.6,35.0,1777,830,1.2,S,arcilloso
PAR000065,8.3,0.3,2.53,8,10,128,539,86,30.4,2.14,16.0,10.3,20.1,5.0,34.9,16.8,37.8,56,13.3,192,524,18.1,2.9,29.5,1742,960,0.28,O,arcilloso
PAR000066,6.2,4.6,0.34,36,34,287,1756,322,4.2,0.89,22.7,2.9,3.0,74.0,30.6,35.6,38.2,83,8.9,833,1027,7.7,5.1,33.0,1684,793,0.7,E,franco
