id_hogar,ingreso_mensual_eur,ingreso_principal_eur,ingreso_secundario_eur,ratio_gasto_ingreso,gasto_mensual_eur,gasto_vivienda_pct,gasto_alimentacion_pct,gasto_suministros_pct,gasto_transporte_pct,gasto_ocio_pct,gasto_educacion_pct,gasto_salud_pct,ahorro_pct,ahorro_acumulado_eur,deuda_eur,deuda_consumo_eur,cuota_deuda_mensual_eur,ratio_endeudamiento_pct,num_miembros,num_perceptores,num_menores,edad_sustentador,num_tarjetas,num_productos_bancarios,antiguedad_cliente_anos,patrimonio_neto_eur,regimen_vivienda,nivel_estudios,situacion_laboral
HOG000000,4742,1924,2231,1.05,4979,34.3,16.7,23.4,12.9,11.3,8.8,9.9,21.4,17498,19888,15532,237,17.3,1,3,2,20,1,1,27.1,249628,propiedad,superior,jubilado
HOG000001,4335,3150,2244,0.84,3641,29.4,33.0,13.3,3.5,4.1,3.3,10.5,27.1,13255,6243,10892,300,22.8,4,2,2,22,3,1,13.1,131746,propiedad,medio,ocupado
HOG000002,7752,5489,0,0.32,2481,8.0,17.7,6.4,13.9,22.0,9.5,12.5,47.4,107408,0,3059,415,0.0,1,2,0,80,4,8,24.7,407070,propiedad,medio,jubilado
HOG000003,700,1044,1578,1.28,896,65.4,31.3,11.2,14.6,2.8,6.2,4.8,0.0,6472,16802,12528,654,59.8,2,0,0,43,0,1,12.9,-26121,alquiler,medio,inactivo
HOG000004,1029,500,856,0.87,895,46.7,30.9,11.6,7.5,7.2,2.6,10.5,1.7,0,13145,6297,1092,48.8,5,1,0,47,1,1,5.6,161348,alquiler,basico,parado
HOG000005,7371,4025,0,0.34,2506,8.0,8.0,3.1,11.4,21.9,8.1,8.9,34.5,85313,4879,0,268,15.8,3,2,1,65,4,10,17.8,474488,hipoteca,superior,ocupado
HOG000006,3537,2985,2092,1.19,4209,34.8,19.4,5.4,12.8,12.7,2.2,7.7,16.5,6087,13158,11723,161,39.0,1,2,0,20,1,2,13.2,76140,propiedad,basico,ocupado
HOG000007,4066,1413,146,0.82,3334,33.9,29.4,7.0,12.3,13.1,2.8,6.6,4.3,8051,22107,10337,959,36.5,5,3,0,20,3,5,1.0,249038,propiedad,basico,inactivo
HOG000008,3036,1682,260,1.12,3400,45.3,28.8,16.6,12.9,2.5,8.2,8.7,0.0,0,20087,6097,135,50.4,3,1,1,20,6,4,13.6,66028,propiedad,medio,ocupado
HOG000009,3646,500,1711,0.82,2990,23.9,28.0,12.8,16.4,9.4,4.5,7.7,0.0,0,2591,6284,558,28.6,1,1,1,31,1,4,10.7,83785,propiedad,basico,ocupado
HOG000010,3720,1784,3111,1.06,3943,39.4,27.0,13.4,10.5,11.0,3.0,12.7,15.6,0,3563,7221,512,28.0,3,2,3,20,3,2,22.0,-30000,hipoteca,basico,ocupado
HOG000011,4137,2617,0,0.77,3185,39.3,19.5,7.5,18.2,13.4,10.8,10.3,4.6,11032,28209,11033,506,47.6,5,2,0,20,2,4,8.7,193117,propiedad,basico,jubilado
HOG000012,2627,3203,2241,0.83,2180,25.7,22.7,9.3,9.5,12.9,6.8,8.3,0.0,27097,7749,4077,640,31.4,4,1,0,25,1,7,8.8,79861,propiedad,basico,ocupado
HOG000013,700,828,2133,1.17,819,52.1,39.9,6.4,14.4,0.0,4.3,5.7,0.0,15002,24170,13471,701,52.5,4,1,0,38,1,1,0.0,-30000,propiedad,basico,ocupado
HOG000014,1267,3699,2770,0.89,1128,28.3,31.0,11.3,15.9,14.4,12.1,8.4,23.7,10085,20298,13659,775,32.3,4,1,0,29,4,7,22.6,-30000,propiedad,medio,parado
HOG000015,7833,4306,0,0.5,3916,8.0,11.0,6.5,13.1,18.9,12.3,12.4,40.5,82668,0,15,836,24.5,2,3,1,74,3,8,18.4,278342,propiedad,superior,ocupado
HOG000016,3444,1132,2001,0.94,3237,42.6,10.5,11.6,8.2,12.4,6.0,11.9,6.7,13359,14158,2756,324,33.9,4,2,1,33,2,2,0.0,6165,hipoteca,medio,parado
HOG000017,6985,5045,0,0.44,3073,8.0,15.2,6.7,12.0,19.2,8.3,13.3,49.6,93691,13289,2751,0,0.0,1,2,0,57,4,8,26.6,458223,propiedad,superior,ocupado
HOG000018,780,1137,882,1.06,827,67.2,36.3,9.4,17.3,8.5,6.3,5.3,0.0,17838,28433,13227,547,50.5,3,1,0,43,1,0,15.3,127663,alquiler,basico,ocupado
HOG000019,3507,3638,0,1.06,3717,24.3,27.0,11.8,16.4,9.3,7.6,3.3,0.0,10748,28391,6069,335,68.5,5,1,0,20,4,1,6.6,204076,propiedad,medio,parado
HOG000020,6461,4630,0,0.3,1938,8.0,17.6,3.0,15.1,15.9,13.0,8.3,33.2,102912,3281,1490,70,21.7,4,1,0,75,2,7,11.2,471957,hipoteca,superior,jubilado
HOG000021,6822,3098,0,0.47,3206,30.7,8.0,3.0,5.9,16.2,13.7,14.1,19.4,76027,2194,0,0,0.0,1,1,1,59,5,6,14.5,342650,propiedad,medio,ocupado
HOG000022,700,2178,0,0.91,637,53.9,28.2,9.0,13.1,2.9,4.4,4.3,0.0,0,20694,7681,538,55.5,7,1,0,65,0,4,0.0,89841,alquiler,medio,ocupado
HOG000023,4734,2635,1908,0.97,4592,22.8,21.7,14.8,13.7,8.1,10.7,2.5,9.5,12714,18605,4551,156,27.0,4,2,1,36,1,5,16.7,276192,propiedad,superior,parado
HOG000024,6485,5211,0,0.5,3242,11.8,12.6,3.0,9.6,21.4,10.0,6.3,44.9,105359,12653,8027,188,6.6,3,4,0,60,6,7,21.4,440622,alquiler,superior,ocupado
HOG000025,1665,500,2499,0.79,1315,32.7,18.4,16.3,10.8,10.5,3.5,8.1,14.2,6848,20727,6770,492,20.6,3,0,2,40,3,3,6.3,23146,propiedad,basico,ocupado
HOG000026,7169,4711,0,0.46,3298,8.9,8.0,3.0,9.5,20.1,0.2,16.3,40.9,75528,3712,5923,401,19.7,1,2,1,90,2,10,10.2,339595,propiedad,superior,ocupado
HOG000027,4786,4911,0,0.45,2154,16.0,20.8,3.0,14.1,12.8,8.0,12.1,42.4,56220,3397,4582,133,0.0,1,2,0,59,2,6,17.3,253077,propiedad,superior,inactivo
HOG000028,5968,4972,0,0.43,2566,18.3,18.3,3.0,11.5,22.3,3.0,12.7,47.7,72381,2309,50,307,0.0,1,4,0,69,4,7,25.3,552385,propiedad,superior,ocupado
HOG000029,8969,4397,0,0.64,5740,12.7,9.8,8.7,10.4,18.2,9.5,10.8,55.0,92990,0,0,77,10.4,3,2,0,62,2,9,18.8,418730,alquiler,superior,jubilado
HOG000030,2505,2300,1045,1.23,3081,37.9,29.1,16.0,11.7,9.2,11.6,10.1,8.8,38924,29343,7933,786,43.0,5,1,1,20,5,5,21.8,-30000,propiedad,medio,ocupado
HOG000031,2038,1875,3259,0.84,1712,39.6,26.5,17.2,19.4,11.9,9.2,9.4,3.8,3363,23012,4371,911,28.6,4,1,1,34,2,3,17.5,242293,hipoteca,basico,parado
HOG000032,6247,624,2005,0.81,5060,20.7,15.6,15.0,16.6,9.0,0.0,4.7,10.9,20677,23231,6079,0,39.8,5,4,2,21,1,0,15.3,-30000,propiedad,medio,ocupado
HOG000033,4126,500,2365,0.58,2393,34.9,26.7,11.9,9.9,7.9,6.8,10.9,0.8,846,23358,7456,0,25.5,5,2,0,24,0,2,1.2,-30000,propiedad,medio,ocupado
HOG000034,2315,2920,0,0.87,2014,33.9,20.2,16.8,20.0,8.7,3.2,11.8,3.1,5578,43621,15068,795,41.1,3,2,1,20,4,2,16.2,114356,alquiler,superior,parado
HOG000035,3330,2272,2140,0.99,3297,48.3,16.0,13.0,9.6,7.9,2.9,9.0,14.3,9462,0,6759,832,55.4,4,2,2,26,0,6,8.9,162706,propiedad,superior,jubilado
HOG000036,6834,4464,0,0.43,2939,8.0,18.9,8.6,7.4,26.8,7.1,6.6,54.8,105241,6475,7379,380,0.0,1,3,1,43,5,9,23.2,413917,hipoteca,medio,ocupado
HOG000037,2305,2611,649,0.9,2074,42.3,27.9,16.9,8.5,7.8,4.5,3.2,17.7,40746,22958,13017,935,39.6,3,3,2,25,2,6,22.5,157938,propiedad,basico,inactivo
HOG000038,1617,1627,2601,0.92,1488,27.1,22.5,11.2,12.5,3.7,8.7,10.4,12.1,54899,18390,4598,543,45.9,1,0,2,52,2,5,19.3,-30000,hipoteca,medio,ocupado
HOG000039,1074,836,1303,0.99,1063,65.0,35.0,8.7,16.7,8.2,3.4,10.5,0.0,14255,21600,4742,1013,45.5,3,1,0,43,2,4,0.0,79737,alquiler,medio,parado
HOG000040,2942,1726,1370,0.9,2648,48.2,19.1,14.9,11.1,0.3,0.0,3.1,20.6,7146,11858,2709,467,24.2,2,2,1,20,2,5,23.9,78255,propiedad,superior,ocupado
HOG000041,700,500,365,1.14,798,69.0,28.0,3.8,8.2,5.7,8.4,12.5,5.0,275,21178,3919,673,55.7,2,2,0,44,0,4,0.0,-30000,hipoteca,basico,parado
HOG000042,8735,3241,0,0.58,5066,20.8,13.7,3.0,13.9,18.0,12.5,16.3,51.1,61907,0,7641,324,11.0,3,1,0,59,4,8,12.2,443335,hipoteca,superior,ocupado
HOG000043,7021,5973,0,0.4,2808,17.9,14.5,3.0,15.6,16.2,10.0,9.8,49.9,74898,27847,0,69,1.5,1,2,2,57,3,10,26.8,404322,hipoteca,superior,ocupado
HOG000044,8961,4136,0,0.61,5466,8.0,14.9,3.0,15.3,20.2,9.1,11.1,55.0,75881,657,8261,0,0.0,2,2,2,73,1,7,12.2,491496,alquiler,medio,ocupado
HOG000045,2431,500,742,0.8,1945,55.7,48.2,13.6,20.3,1.7,4.8,8.8,0.0,0,16965,14791,806,47.6,4,0,0,35,1,1,10.4,54034,alquiler,basico,ocupado
HOG000046,3220,2176,390,0.89,2866,23.9,24.1,21.3,12.5,6.6,6.5,7.2,7.6,24063,12359,14562,1346,52.9,6,3,2,22,2,6,13.6,206570,hipoteca,medio,ocupado
HOG000047,3681,2217,1019,1.05,3865,37.6,15.4,23.0,12.5,6.2,11.3,10.5,0.0,0,5827,2205,399,63.2,4,2,1,20,3,4,14.5,-16142,hipoteca,basico,parado
HOG000048,2235,888,2339,0.75,1676,42.2,22.1,16.1,11.5,3.6,2.8,10.3,19.8,15428,23159,5640,1400,23.2,3,1,1,32,1,0,11.6,-30000,propiedad,basico,jubilado
HOG000049,5620,5322,0,0.56,3147,29.5,17.6,8.1,14.2,22.4,14.0,13.3,55.0,89614,15450,1709,0,0.0,1,3,1,72,1,9,14.1,405703,hipoteca,basico,inactivo
HOG000050,7737,5956,0,0.56,4333,30.8,19.6,6.0,14.2,27.8,7.2,12.6,45.6,69994,6908,7011,459,0.0,1,4,2,63,4,4,17.7,346080,propiedad,medio,ocupado
HOG000051,934,1581,2257,1.25,1168,67.0,32.6,8.9,14.2,0.0,6.3,5.3,0.0,0,14425,5231,816,52.1,1,0,1,44,1,2,0.0,-12443,alquiler,superior,inactivo
HOG000052,1882,2296,2409,0.75,1412,23.2,34.4,12.6,12.8,17.2,8.9,10.5,18.3,0,23165,12283,389,33.5,5,2,1,20,3,2,2.7,80642,hipoteca,basico,ocupado
HOG000053,1625,500,435,1.16,1885,48.2,26.0,7.6,9.4,0.0,8.4,8.2,0.0,1429,27673,2797,68,55.1,2,1,0,70,0,0,12.0,56397,propiedad,basico,ocupado
HOG000054,5806,4856,267,0.56,3251,8.0,8.5,4.6,9.3,18.8,8.7,8.0,41.2,78169,4089,4740,136,0.0,1,3,1,90,4,7,13.6,345694,propiedad,basico,jubilado
HOG000055,700,1491,338,1.0,700,45.8,26.8,3.0,15.9,7.7,10.9,7.5,0.0,0,34106,6512,793,42.1,1,2,0,32,1,0,0.6,194872,hipoteca,basico,parado
HOG000056,7837,4636,0,0.51,3997,27.0,8.0,3.0,15.9,19.7,10.6,11.0,39.9,110366,1735,589,286,6.2,1,2,0,63,4,3,22.2,486887,hipoteca,medio,inactivo
HOG000057,2128,619,998,1.09,2320,47.0,25.9,11.8,5.9,0.0,9.2,7.8,0.0,11821,19395,20798,470,43.8,2,1,0,39,0,0,0.0,-30000,alquiler,medio,parado
HOG000058,6876,4235,0,0.32,2200,8.0,31.7,7.1,12.1,18.0,7.1,15.6,44.0,70451,0,4286,0,10.6,1,3,2,76,5,8,13.4,403549,propiedad,superior,parado
HOG000059,2992,1840,1470,0.75,2244,45.3,25.1,18.4,14.5,8.7,0.0,10.2,3.7,17157,16751,3703,515,28.8,3,1,2,37,0,0,14.1,101178,alquiler,medio,ocupado
HOG000060,3143,2311,3179,0.88,2766,18.1,22.6,22.2,7.4,13.3,2.1,8.0,4.8,0,10307,8400,726,29.9,3,3,1,20,0,7,9.4,79525,hipoteca,superior,ocupado
HOG000061,2015,2224,1517,0.77,1552,30.6,25.0,8.4,13.5,12.2,5.5,7.8,16.5,1906,6194,6691,917,24.7,3,1,0,20,2,3,0.0,14060,alquiler,basico,ocupado
HOG000062,7524,3520,0,0.31,2332,14.3,23.6,3.0,24.3,21.5,12.2,13.3,33.7,107920,10637,0,218,6.3,1,2,1,58,3,8,4.0,416057,alquiler,superior,ocupado
HOG000063,3946,1768,460,0.91,3591,28.6,23.5,13.3,11.2,10.0,10.4,5.6,1.1,9694,29294,1570,455,39.8,4,2,2,20,1,1,8.7,113746,propiedad,basico,inactivo
HOG000064,700,500,1466,0.98,686,70.0,25.8,9.6,14.0,4.2,2.7,7.1,10.9,232,44105,3276,436,67.3,3,0,0,46,0,1,11.6,12517,alquiler,basico,ocupado
HOG000065,6362,3866,0,0.31,1972,8.9,12.5,3.2,7.3,31.2,9.9,13.6,37.7,98484,5696,6455,469,17.3,3,2,0,38,4,8,19.8,478840,propiedad,superior,ocupado
HOG000066,5196,6393,0,0.35,1819,32.7,8.4,4.8,7.9,19.3,9.4,14.3,54.4,90355,0,3639,284,0.0,1,3,1,64,1,8,35.2,359438,propiedad,basico,parado
HOG000067,2466,2518,604,1.05,2589,38.5,24.6,14.0,16.8,0.6,7.4,1.3,0.9,18217,23281,6518,774,65.6,5,2,0,20,2,8,4.9,61806,hipoteca,basico,ocupado
HOG000068,7783,4346,0,0.3,2335,8.0,19.3,6.3,15.5,18.5,9.9,14.0,43.7,102962,9503,7409,465,6.6,1,2,1,62,1,10,20.9,391698,propiedad,superior,ocupado
HOG000069,4808,2317,797,1.08,5193,30.3,16.9,15.6,6.8,4.4,7.3,2.6,5.1,45112,15112,6886,889,38.5,4,3,1,20,3,8,0.0,95991,propiedad,basico,inactivo
HOG000070,3944,2591,0,0.66,2603,39.7,30.9,17.2,10.8,6.8,9.9,4.3,15.0,0,31461,12121,236,40.4,4,3,2,20,3,5,4.2,47477,alquiler,basico,ocupado
HOG000071,1898,510,774,1.04,1974,58.4,30.6,9.2,15.2,0.0,11.0,9.7,0.0,32956,33332,9035,951,57.3,5,1,0,30,0,1,2.7,42840,alquiler,medio,ocupado
HOG000072,1852,2714,0,0.95,1759,33.1,22.6,10.5,13.5,9.4,9.8,9.6,3.4,17272,18790,7529,864,57.5,5,1,1,20,3,1,3.1,146673,alquiler,basico,inactivo
HOG000073,2759,1150,2122,1.14,3145,24.0,22.9,13.2,12.8,7.9,0.0,7.3,4.8,12742,18118,5466,1437,37.9,7,2,0,31,4,4,0.0,41098,hipoteca,medio,parado
HOG000074,6003,4334,0,0.54,3242,20.2,11.3,3.0,1.8,21.3,11.8,8.5,44.7,99022,2054,4510,0,15.1,2,3,0,62,4,8,19.3,374077,propiedad,superior,ocupado
HOG000075,2147,2511,3545,0.99,2126,28.3,29.0,21.3,15.1,10.2,5.9,6.1,0.0,0,30948,696,796,43.2,4,2,2,20,2,2,15.3,167724,alquiler,basico,ocupado
HOG000076,8287,2900,0,0.4,3315,16.2,8.0,7.1,15.9,23.3,13.0,15.0,47.6,94265,12165,6854,0,4.6,2,3,0,51,1,12,19.0,469881,propiedad,medio,ocupado
HOG000077,2890,2861,1568,0.79,2283,38.6,28.7,23.4,11.7,3.1,0.0,9.1,10.2,17189,9031,7858,712,18.1,2,1,0,22,1,4,6.2,-18595,alquiler,basico,ocupado
HOG000078,5081,5313,0,0.51,2591,13.8,8.0,3.6,9.5,23.6,8.2,7.4,50.7,89611,0,2912,0,22.3,3,3,0,64,4,7,16.5,372862,propiedad,basico,jubilado
HOG000079,4408,3502,0,0.9,3967,42.9,33.7,11.4,14.3,4.2,6.8,10.7,3.0,25813,31661,15718,760,47.2,4,3,1,20,5,2,33.5,135817,propiedad,medio,parado
HOG000080,2858,500,635,1.3,3715,61.2,39.5,11.3,14.6,5.6,0.0,5.6,0.0,0,16257,14220,843,49.5,4,2,0,42,3,1,0.0,17374,hipoteca,basico,ocupado
HOG000081,7835,4132,0,0.51,3996,24.7,14.9,3.0,13.9,16.7,5.6,15.8,51.1,71981,10418,0,315,18.7,1,3,0,44,4,7,19.9,477344,alquiler,medio,ocupado
HOG000082,1614,3053,0,0.99,1598,33.4,33.6,15.2,11.5,3.3,0.0,4.5,0.0,0,22655,11405,676,57.7,6,1,0,20,3,2,5.4,-9617,alquiler,medio,ocupado
HOG000083,700,500,1449,1.17,819,64.3,19.4,10.3,10.8,11.2,3.0,3.7,0.0,0,18352,8293,857,41.2,3,1,0,53,0,2,3.7,-10817,propiedad,basico,parado
HOG000084,2960,1845,1955,0.88,2605,41.1,36.5,17.7,12.1,7.3,5.9,11.6,0.0,0,18478,11110,94,26.6,1,2,0,31,2,1,24.9,97399,alquiler,superior,ocupado
HOG000085,700,500,1852,1.3,910,55.0,32.7,5.9,10.0,7.5,5.9,5.7,0.0,449,7912,13929,897,29.7,1,1,1,62,0,3,0.0,51872,hipoteca,basico,ocupado
HOG000086,3589,2065,605,1.01,3625,46.7,32.7,12.3,12.1,8.6,12.6,7.8,11.9,29112,37360,12598,931,62.9,5,2,1,38,3,4,10.2,-30000,hipoteca,medio,jubilado
HOG000087,3109,3848,484,1.26,3917,40.7,22.7,7.9,10.9,8.3,9.6,7.7,25.4,22535,47930,18630,203,40.7,5,3,3,21,3,1,12.8,259248,alquiler,medio,parado
HOG000088,3940,1690,2516,0.9,3546,26.7,24.8,14.0,10.9,13.2,0.0,8.6,4.4,16043,0,3636,436,51.3,4,1,0,21,2,3,3.5,283593,hipoteca,medio,ocupado
HOG000089,6193,2685,467,0.86,5326,21.1,22.9,19.2,10.3,11.9,3.7,11.2,0.6,23662,22372,9577,1483,39.7,4,2,1,20,0,6,15.9,79169,alquiler,medio,ocupado
HOG000090,4711,2497,0,0.92,4334,44.8,26.1,13.9,10.8,9.8,7.9,11.8,9.7,1020,33272,0,716,38.5,4,2,0,20,2,2,19.6,12814,hipoteca,superior,ocupado
HOG000091,700,521,485,0.87,609,48.5,25.7,13.3,12.3,0.0,2.5,0.9,0.0,0,13918,11458,761,31.2,4,2,0,52,2,2,0.0,167215,alquiler,basico,ocupado
HOG000092,3662,3662,834,0.93,3406,37.0,30.4,17.8,10.3,14.3,23.4,4.8,7.1,40831,18023,2933,1093,24.7,5,2,1,20,2,5,11.2,-8397,propiedad,basico,parado
HOG000093,8648,5415,0,0.49,4238,8.0,19.6,9.3,13.9,25.5,0.0,6.2,24.0,73644,0,0,984,27.7,3,2,0,59,5,9,18.6,361566,propiedad,medio,jubilado
HOG000094,3782,1991,0,0.91,3442,38.9,26.7,15.9,12.0,5.1,6.5,13.5,4.9,16986,19650,4084,1078,68.2,4,1,0,20,1,5,5.6,101700,propiedad,medio,ocupado
HOG000095,3717,1901,2106,0.98,3643,23.4,16.8,14.9,8.3,11.4,6.6,9.2,19.7,0,17125,3088,668,48.2,1,2,0,40,3,4,8.1,-30000,alquiler,superior,jubilado
HOG000096,825,1657,1727,1.09,899,38.7,35.9,8.8,11.6,0.0,11.5,2.6,2.2,10547,12580,2654,575,33.3,2,2,0,31,0,3,11.9,8433,alquiler,medio,ocupado
HOG000097,2632,2103,1773,0.95,2500,37.4,20.5,10.5,15.5,10.1,7.6,12.0,0.7,22228,3713,11114,678,48.6,4,0,1,20,1,5,1.5,131237,hipoteca,basico,ocupado
HOG000098,4547,2470,1054,1.11,5047,28.6,20.1,19.5,6.0,6.0,8.1,5.7,3.9,29205,27818,4176,273,31.6,5,1,2,20,2,4,11.6,226294,propiedad,superior,ocupado
HOG000099,3705,2233,0,0.94,3483,28.9,29.8,17.3,11.1,6.0,6.8,5.8,15.2,27825,14456,19553,1153,68.5,5,1,1,20,2,5,21.5,119951,propiedad,medio,jubilado
