id_estacion,no2_ugm3,no2_max_ugm3,nox_ugm3,pm10_ugm3,pm10_max_ugm3,pm25_ugm3,pm25_max_ugm3,o3_ugm3,o3_max_ugm3,so2_ugm3,co_mgm3,benceno_ugm3,nh3_ugm3,ruido_db,trafico_indice,intensidad_trafico,pct_vehiculos_pesados,densidad_poblacion,dist_industria_km,dist_via_principal_m,superficie_verde_pct,temp_media_c,humedad_pct,viento_kmh,precipitacion_mm,radiacion_solar,altitud_m,num_dias_superacion,entorno
EST000000,33,149,83,27,61,23,42,75,51,10.3,0.2,1.78,0.5,68.0,67,34839,8.4,8628,8.1,539,30.4,17.8,62,20.1,591,443,258,18,interior
EST000001,2,36,22,17,19,2,22,82,194,3.9,0.1,0.53,19.1,39.6,0,100,3.2,20,15.0,1734,57.4,16.2,64,12.6,504,335,337,25,interior
EST000002,79,205,97,37,130,33,5,56,56,0.0,1.29,2.74,4.7,77.9,45,30839,10.7,6425,14.6,5,0.1,20.0,47,21.7,838,567,967,46,interior
EST000003,68,199,140,42,70,23,31,49,53,6.9,1.61,1.26,0.5,73.2,100,60863,11.5,12000,12.3,5,0.0,19.2,45,19.2,1273,664,613,65,costa
EST000004,49,185,113,50,102,27,23,25,80,31.7,1.49,2.56,11.0,75.2,82,19011,32.4,7341,1.3,5,14.0,15.1,56,12.9,608,494,0,66,costa
EST000005,9,41,3,17,75,2,24,109,260,0.0,0.63,0.1,21.3,35.0,26,100,5.3,20,21.7,1211,39.4,18.8,63,10.3,600,294,42,25,costa
EST000006,20,10,45,11,56,12,13,97,185,5.4,0.33,0.52,20.7,42.7,0,32802,5.5,20,10.5,1429,49.4,15.2,83,14.2,402,286,0,9,interior
EST000007,50,171,122,50,88,23,24,28,67,28.5,1.22,3.13,10.3,82.9,57,32047,21.8,6301,0.1,5,7.8,16.3,68,10.5,621,327,61,86,interior
EST000008,4,46,31,9,27,2,15,122,222,0.0,0.24,0.75,18.9,37.6,17,10472,7.1,20,9.0,826,69.2,12.1,54,5.1,270,453,78,30,interior
EST000009,41,61,79,31,63,22,90,58,149,0.0,0.7,2.2,3.7,52.1,92,26560,12.8,6714,5.2,153,16.8,23.9,78,20.2,595,499,0,42,interior
EST000010,65,181,151,27,104,32,5,22,99,4.2,2.05,2.75,2.0,78.4,100,47430,19.2,8602,7.2,5,4.0,19.7,63,28.6,870,423,921,99,interior
EST000011,2,41,51,10,46,5,5,114,176,0.0,0.11,1.2,15.7,42.3,11,100,6.7,20,11.2,1451,39.5,15.2,41,11.8,417,195,7,25,costa
EST000012,8,45,31,15,37,2,20,91,121,0.0,0.42,1.3,22.8,43.0,0,100,5.8,20,16.9,624,28.0,17.3,67,9.9,787,376,461,29,costa
