id_especimen,longitud_total_mm,longitud_elitro_mm,anchura_max_mm,anchura_pronoto_mm,anchura_cabeza_mm,altura_cuerpo_mm,longitud_antena_mm,num_segmentos_antena,longitud_pata_anterior_mm,longitud_pata_posterior_mm,longitud_femur_mm,longitud_tibia_mm,longitud_tarso_mm,distancia_interocular_mm,diametro_ojo_mm,longitud_mandibula_mm,num_estrias_elitro,num_puntos_pronoto,longitud_espolon_mm,peso_mg,ratio_largo_ancho,ratio_antena_cuerpo,ratio_pata_cuerpo,area_dorsal_mm2,volumen_estimado_mm3,longitud_ala_mm,envergadura_mm,coloracion
ESP000000,9.4,5.77,2.96,2.69,1.73,1.19,6.58,8,4.8,5.24,3.36,6.06,1.75,1.44,1.16,1.71,8,48,1.31,17,3.18,0.7,0.557,21.7,16.6,8.81,20.58,marron
ESP000001,22.18,14.14,10.92,8.74,5.92,7.19,11.83,12,3.79,16.8,5.54,3.45,3.35,2.1,0.72,3.56,13,61,0.1,300,2.03,0.533,0.757,188.9,870.7,18.1,47.12,metalico
ESP000002,11.67,6.78,4.26,3.54,2.17,5.08,7.52,8,5.09,2.0,4.31,1.13,2.82,1.97,0.89,0.61,6,92,0.26,86,2.74,0.644,0.171,38.8,126.3,9.55,23.36,negro
ESP000003,19.23,11.64,9.52,7.5,5.21,5.98,11.63,10,4.3,13.84,2.39,4.79,2.97,2.09,0.34,2.53,12,75,0.85,270,2.02,0.605,0.72,142.8,547.4,17.0,43.52,negro
ESP000004,19.4,12.27,9.23,7.11,4.91,7.83,10.55,10,6.08,13.05,2.93,3.49,5.45,2.1,0.61,1.83,12,51,0.98,229,2.1,0.544,0.673,139.7,701.0,18.13,45.49,metalico
ESP000005,11.5,7.18,5.12,4.08,3.25,4.96,5.53,9,4.89,4.05,3.18,1.09,2.59,1.97,0.54,0.62,8,89,0.21,89,2.25,0.481,0.352,45.9,146.0,10.86,26.84,negro
ESP000006,23.08,13.61,10.57,8.53,5.68,6.78,12.57,13,1.94,12.43,7.17,3.77,4.33,1.55,1.1,3.53,9,80,0.1,317,2.18,0.545,0.539,190.3,827.0,22.02,54.61,metalico
ESP000007,11.36,7.69,3.65,2.23,1.83,4.89,3.74,8,5.64,3.88,3.8,5.1,3.35,1.57,1.2,1.21,10,37,0.68,45,3.11,0.329,0.342,32.3,101.4,8.54,20.73,negro
ESP000008,10.76,6.77,3.44,3.08,1.82,3.44,4.81,10,7.64,6.74,6.96,5.78,1.29,1.36,1.22,1.32,9,60,1.07,5,3.13,0.447,0.626,28.9,63.7,15.49,34.42,negro
ESP000009,20.47,12.31,10.36,7.92,5.68,6.11,8.33,12,8.06,15.06,1.61,2.74,4.41,1.4,0.44,1.22,13,82,0.35,256,1.98,0.407,0.736,165.4,647.9,11.02,32.4,metalico
ESP000010,10.55,6.41,3.83,3.8,2.48,3.81,5.53,9,4.55,5.42,4.67,5.96,2.15,1.82,1.25,0.72,11,35,1.0,13,2.75,0.524,0.514,31.5,77.0,8.86,21.55,negro
