id_especimen,longitud_total_mm,longitud_elitro_mm,anchura_max_mm,anchura_pronoto_mm,anchura_cabeza_mm,altura_cuerpo_mm,peso_mg,longitud_antena_mm,num_segmentos_antena,longitud_pata_posterior_mm,longitud_femur_mm,longitud_tibia_mm,longitud_ala_mm,envergadura_mm,num_manchas,diametro_mancha_mm,num_estrias_elitro,distancia_interocular_mm,diametro_ojo_mm,longitud_mandibula_mm,ratio_largo_ancho,ratio_antena_cuerpo,ratio_ala_cuerpo,area_dorsal_mm2,volumen_estimado_mm3,densidad_setas,intensidad_color,especie_invasora
INV000000,17.49,10.8,6.7,5.61,2.05,4.18,58,7.13,12,4.14,4.35,4.27,13.87,34.44,1,0.1,9,1.38,0.9,1.22,2.61,0.408,0.793,91.4,244.9,5,45,0
INV000001,16.58,10.28,6.04,3.73,4.74,3.43,186,11.97,8,8.52,3.14,4.45,14.97,35.98,13,1.44,12,1.91,0.97,2.56,2.75,0.722,0.903,78.1,171.7,23,213,1
INV000002,19.14,11.97,7.5,5.43,3.85,4.59,124,5.57,9,14.72,4.98,4.17,11.25,30.0,4,0.85,10,1.79,1.26,1.79,2.55,0.291,0.588,112.0,329.4,7,73,0
INV000003,25.09,15.6,6.56,6.64,5.42,6.3,305,11.23,11,9.42,5.54,5.18,14.51,35.58,13,1.23,9,2.63,0.74,3.06,3.82,0.448,0.578,128.4,518.5,25,178,1
INV000004,14.72,9.15,5.23,5.39,3.98,1.0,98,8.75,10,6.0,1.93,2.45,9.02,23.27,2,0.89,8,1.64,0.71,0.66,2.81,0.594,0.613,60.0,38.5,12,204,0
INV000005,20.74,12.87,6.72,7.03,4.35,6.47,209,5.33,12,13.44,5.08,5.56,13.28,33.28,3,0.73,8,2.3,1.38,1.94,3.09,0.257,0.64,108.7,450.9,12,11,1
INV000006,18.85,11.41,9.18,6.19,4.35,6.04,213,9.58,7,9.82,3.64,5.14,12.85,34.88,9,0.8,8,2.4,1.14,1.97,2.05,0.508,0.682,135.0,522.6,12,83,0
INV000007,9.25,5.79,7.17,4.24,2.41,3.54,199,8.1,10,8.36,2.89,1.83,5.45,18.07,2,1.01,10,2.6,0.87,1.53,1.29,0.876,0.589,51.7,117.4,3,76,0
INV000008,10.37,6.36,8.07,4.94,2.76,6.54,144,9.71,9,10.65,3.71,4.32,10.24,28.55,7,0.7,8,0.84,0.65,1.84,1.29,0.936,0.987,65.3,273.7,14,152,0
INV000009,18.42,11.38,9.71,5.59,4.12,3.39,152,10.5,9,6.25,2.53,3.29,16.49,42.69,7,1.34,9,1.78,0.84,2.66,1.9,0.57,0.895,139.5,303.2,9,118,0
INV000010,17.87,10.92,6.57,3.83,2.9,5.92,75,11.51,11,7.22,2.89,3.88,13.61,33.79,9,1.06,11,1.12,0.98,1.21,2.72,0.644,0.762,91.6,347.5,9,170,0
INV000011,10.11,6.04,5.23,5.33,3.65,2.01,10,9.67,8,6.66,3.85,3.81,9.04,23.31,0,0.18,7,1.91,0.47,1.52,1.93,0.956,0.894,41.2,53.1,20,16,0
INV000012,14.86,9.64,6.41,3.96,1.99,4.31,15,6.49,10,7.42,1.74,1.0,9.88,26.17,4,0.82,10,0.75,1.24,1.89,2.32,0.437,0.665,74.3,205.3,8,190,0
INV000013,11.21,6.92,9.78,4.79,3.95,4.14,255,5.85,12,7.73,6.47,4.25,11.23,32.24,7,0.5,6,1.45,0.7,1.34,1.15,0.522,1.002,85.5,226.9,9,116,0
INV000014,14.39,9.21,5.39,4.99,3.53,2.5,130,7.31,9,6.48,2.27,4.33,13.7,32.79,5,0.94,8,1.07,1.35,1.33,2.67,0.508,0.952,60.5,97.0,9,221,0
INV000015,22.57,13.55,7.07,5.91,5.32,6.02,275,7.35,10,6.58,8.37,4.52,10.95,28.97,6,1.37,9,2.16,0.85,2.81,3.19,0.326,0.485,124.5,480.3,8,147,0
INV000016,22.51,14.0,10.71,8.25,4.65,4.34,334,8.06,10,12.68,7.38,4.49,14.75,40.21,11,0.98,9,2.22,0.89,2.33,2.1,0.358,0.655,188.0,523.1,17,114,1
INV000017,17.12,10.21,6.07,4.22,2.23,4.74,121,6.99,8,7.04,3.5,3.34,9.51,25.09,8,0.31,8,1.63,1.04,0.29,2.82,0.408,0.555,81.1,246.3,9,94,0
INV000018,21.18,13.16,9.51,4.96,4.62,5.33,197,7.39,8,10.3,3.89,3.51,13.42,36.35,6,0.56,10,2.01,0.8,1.69,2.23,0.349,0.634,157.1,536.8,15,105,0
INV000019,16.75,10.53,4.82,4.77,3.04,2.68,219,6.89,11,6.53,3.27,3.46,8.66,22.14,3,0.6,7,2.01,1.55,2.44,3.48,0.411,0.517,63.0,108.2,9,96,0
INV000020,18.52,11.42,9.21,6.69,3.53,5.73,263,4.08,11,10.68,3.65,4.5,10.1,29.41,4,0.84,7,2.39,0.69,0.84,2.01,0.22,0.545,133.0,488.7,0,49,0
INV000021,19.85,12.17,9.13,6.81,3.46,4.26,243,10.94,9,9.42,3.98,4.91,16.44,42.01,10,1.45,10,1.6,0.45,2.73,2.17,0.551,0.828,141.4,386.0,15,154,0
INV000022,15.6,9.26,4.69,4.86,2.36,3.69,21,9.9,12,7.59,1.0,3.4,10.41,25.51,7,0.32,7,1.45,0.99,1.52,3.33,0.635,0.667,57.1,135.0,16,106,0
INV000023,14.89,8.83,5.39,5.16,2.72,2.84,67,7.88,10,8.73,5.16,3.1,8.68,22.75,4,0.78,7,2.47,0.74,1.49,2.76,0.529,0.583,62.6,114.0,8,144,0
INV000024,21.35,13.65,6.94,6.55,3.71,4.11,207,7.49,12,5.53,4.78,3.63,10.97,28.88,8,0.44,8,1.79,0.81,1.54,3.08,0.351,0.514,115.6,304.5,18,81,0
INV000025,14.52,9.52,7.68,4.96,3.65,4.88,214,10.72,9,9.26,2.77,3.43,19.28,46.24,6,1.28,6,3.04,0.81,1.12,1.89,0.738,1.328,87.0,272.1,18,113,0
INV000026,23.18,14.66,7.8,6.28,4.31,6.85,290,11.9,8,9.97,6.71,5.09,17.52,42.84,8,1.5,10,1.87,1.28,2.86,2.97,0.513,0.756,141.0,619.3,19,247,0
INV000027,15.48,9.2,3.08,4.23,1.43,1.0,10,11.12,11,7.16,1.0,2.97,13.69,30.46,11,1.87,12,1.42,0.91,3.18,5.03,0.718,0.884,37.2,23.8,24,126,1
INV000028,14.04,8.78,6.34,5.71,0.9,4.24,136,8.94,12,8.24,3.5,4.49,14.16,34.66,7,1.45,10,1.03,1.37,1.36,2.21,0.637,1.009,69.4,188.7,3,55,0
INV000029,26.95,16.42,12.55,7.52,5.06,5.98,390,8.73,11,12.35,7.7,5.29,16.51,45.57,4,0.34,7,2.73,0.7,1.64,2.15,0.324,0.613,263.8,1011.3,0,159,0
INV000030,16.14,10.04,8.5,5.75,3.29,3.16,204,9.1,11,11.71,3.6,3.35,16.11,40.72,12,1.08,10,1.92,0.91,2.18,1.9,0.564,0.998,107.0,216.8,10,227,0
INV000031,11.89,7.27,8.34,4.16,4.12,2.45,163,6.19,11,6.96,3.3,3.72,12.22,32.78,4,0.5,8,1.8,1.15,1.55,1.43,0.521,1.028,77.3,121.5,0,88,0
INV000032,16.03,10.42,6.76,4.65,4.28,4.77,187,9.97,10,12.41,3.98,3.4,12.98,32.72,7,0.73,9,1.74,1.24,1.38,2.37,0.622,0.81,84.5,258.4,6,204,0
INV000033,9.91,6.61,5.12,2.03,2.68,2.38,116,10.31,11,4.92,3.1,3.41,11.03,27.18,11,1.43,8,2.0,0.87,1.9,1.94,1.04,1.113,39.6,60.4,15,102,0
INV000034,22.06,13.37,8.08,6.45,4.68,4.86,139,8.72,10,8.72,4.59,5.51,14.69,37.46,7,1.31,12,1.8,0.92,1.8,2.73,0.395,0.666,139.0,433.1,20,186,0
INV000035,10.52,6.6,7.06,5.95,4.08,3.31,105,10.35,9,5.82,4.13,3.94,14.94,36.94,9,1.52,11,1.93,0.83,2.42,1.49,0.984,1.42,57.9,122.9,2,132,0
INV000036,16.8,10.74,8.66,4.77,4.12,5.61,274,7.22,11,6.92,5.08,4.39,15.45,39.56,6,1.25,12,2.01,0.79,1.96,1.94,0.43,0.92,113.5,408.1,19,56,0
INV000037,22.32,13.98,8.74,7.0,4.61,4.39,233,4.07,11,12.41,4.2,3.33,7.04,22.82,5,0.76,9,2.03,1.19,0.8,2.55,0.182,0.315,152.2,428.2,14,96,0
INV000038,18.4,11.34,10.82,7.5,3.87,7.45,294,8.95,9,10.13,8.2,6.22,16.23,43.28,8,0.88,11,2.44,0.71,1.82,1.7,0.486,0.882,155.3,741.6,21,150,1
INV000039,10.7,6.3,6.84,3.74,2.87,1.75,121,6.35,11,7.93,3.22,2.11,20.33,47.5,9,1.23,8,2.05,1.18,2.28,1.56,0.593,1.9,57.1,64.0,16,168,1
INV000040,18.22,11.44,6.75,4.91,4.35,4.8,48,7.43,9,11.05,5.18,3.54,17.24,41.23,9,0.94,13,1.97,0.84,1.46,2.7,0.408,0.946,95.9,295.2,9,84,1
INV000041,7.95,5.02,4.96,5.07,1.63,1.89,60,9.19,10,8.86,2.56,2.24,13.25,31.46,2,0.38,10,1.13,1.14,1.99,1.6,1.156,1.667,30.8,37.3,16,96,0
INV000042,20.66,12.68,9.13,5.19,1.63,3.9,290,7.91,10,10.17,5.89,5.19,12.19,33.51,3,1.24,10,2.35,1.42,1.54,2.26,0.383,0.59,147.1,367.8,19,139,0
INV000043,16.52,9.91,7.42,7.49,4.29,3.63,116,9.51,10,9.05,3.53,5.59,13.9,35.22,8,1.31,10,2.02,1.19,1.94,2.23,0.576,0.841,95.6,222.5,12,208,0
INV000044,17.05,10.76,6.71,6.24,3.91,4.69,65,5.44,8,8.33,4.33,4.82,12.21,31.13,0,0.75,9,1.96,0.64,1.77,2.54,0.319,0.716,89.2,268.3,1,62,0
INV000045,15.69,9.67,3.9,4.3,3.87,5.57,133,11.24,12,10.53,3.39,3.21,19.24,42.38,9,0.61,13,1.3,1.38,2.77,4.02,0.716,1.226,47.7,170.4,9,181,0
