id_prestamo,edad,ingresos_mensuales_eur,ingresos_conyuge_eur,importe_prestamo_eur,plazo_meses,cuota_mensual_eur,ratio_endeudamiento,ratio_cuota_ingreso,antiguedad_empleo_anos,antiguedad_cliente_anos,num_prestamos_previos,num_prestamos_activos,num_impagos_previos,dias_mora_max_historico,score_credito,score_externo,saldo_medio_cuenta_eur,num_productos_contratados,patrimonio_declarado_eur,num_consultas_buro_6m,tasa_interes_pct,gastos_fijos_mensuales_eur,finalidad,tipo_empleo,regimen_vivienda,nivel_estudios,sector_actividad,tiene_avalista,impago
PRE000000,53,1711,1216,11858,39,328,19.2,11.2,4.2,8.2,3,1,0,19,664,464,9798,0,52951,4,2.0,891,coche,fijo,propiedad,medio,construccion,no,0
PRE000001,44,2491,622,6372,12,573,23.0,18.4,11.2,11.6,1,1,1,33,730,520,-341,6,72535,2,5.8,1975,negocio,temporal,alquiler,superior,industria,si,0
PRE000002,69,2788,754,11320,51,240,8.6,6.8,10.8,0.0,1,3,0,17,670,763,914,3,0,2,2.7,1512,consumo,fijo,propiedad,medio,construccion,no,0
PRE000003,55,1829,522,11277,23,530,29.0,22.5,0.0,0.0,2,2,1,20,553,621,9258,0,73682,0,2.0,251,consumo,temporal,hipoteca,medio,industria,no,1
PRE000004,43,3042,1572,11090,65,184,6.0,4.0,0.5,1.5,2,1,1,45,696,715,-2000,3,34097,1,9.5,829,consumo,fijo,alquiler,basico,publico,si,0
PRE000005,32,2118,661,19758,43,496,23.4,17.8,1.0,17.1,0,0,1,27,646,709,3744,6,26593,2,6.7,927,vivienda,fijo,alquiler,medio,servicios,no,1
PRE000006,32,2808,76,10286,57,195,6.9,6.8,4.1,9.4,2,0,0,4,495,649,4755,2,109749,3,3.8,898,estudios,autonomo,hipoteca,basico,construccion,no,1
PRE000007,46,700,511,16148,57,306,43.7,25.2,12.2,12.1,2,1,1,0,687,701,10517,3,67648,2,5.3,770,estudios,autonomo,hipoteca,basico,industria,no,0
PRE000008,19,1965,1387,7900,29,294,15.0,8.8,2.4,6.9,0,0,0,47,710,689,4499,1,0,0,12.6,916,consumo,fijo,alquiler,basico,servicios,no,0
PRE000009,43,2666,1391,6639,31,231,8.7,5.7,2.4,0.0,0,0,0,0,654,594,5016,0,22264,0,9.5,1258,coche,fijo,hipoteca,medio,servicios,no,0
