id_parcela,temp_media_c,temp_max_c,temp_min_c,humedad_pct,humedad_suelo_pct,precipitacion_mm,precipitacion_acum_30d_mm,horas_humectacion_foliar,ndvi,ndwi,indice_estres_hidrico,dias_desde_tratamiento,num_tratamientos_campana,densidad_plantas_m2,ph_suelo,materia_organica_pct,nitrogeno_ppm,conductividad_suelo,altitud_m,pendiente_pct,dist_foco_plaga_km,trampas_capturas_num,grados_dia_acumulados,indice_presion_plaga,cobertura_vegetal_pct,edad_cultivo_dias,tipo_cultivo,sistema_riego,uso_fitosanitario,variedad_resistente,manejo,perdida_cosecha
CSC000000,18.6,22.8,16.7,46,14.6,37,106,8.8,0.76,0.11,0.41,51,0,194,6.8,2.8,8,0.77,425,21.6,11.8,0,986,51,73,146,olivo,aspersion,no,no,ecologico,0
CSC000001,27.5,28.5,9.0,46,10.6,72,51,12.1,0.52,0.2,0.48,0,4,163,5.6,1.6,21,0.11,266,18.1,0.2,42,1106,22,77,100,olivo,goteo,si,no,convencional,0
CSC000002,27.5,16.2,5.3,46,13.2,61,68,11.4,0.86,0.02,0.36,24,4,193,6.1,1.7,16,0.98,160,14.6,17.6,9,1084,75,65,153,citricos,secano,si,no,ecologico,0
CSC000003,22.2,37.9,14.4,64,31.3,77,141,0.0,0.56,0.35,0.43,8,3,121,6.5,2.2,24,0.35,541,12.2,12.9,0,957,48,61,66,horticola,secano,no,no,convencional,0
CSC000004,21.6,26.8,8.7,89,22.4,39,40,10.5,0.52,0.15,0.46,40,5,251,5.9,3.7,23,0.51,267,9.9,23.1,26,764,38,71,64,olivo,aspersion,si,si,integrado,0
CSC000005,19.8,23.9,14.5,70,36.7,52,102,16.2,0.68,-0.07,0.35,16,3,226,6.4,1.9,24,0.57,377,14.3,4.2,1,949,29,74,86,trigo,goteo,si,no,integrado,1
CSC000006,22.6,35.0,1.0,54,23.9,61,22,3.0,0.62,0.13,0.23,35,5,149,6.4,3.1,23,0.23,359,5.2,3.0,12,1252,72,91,67,olivo,secano,si,no,convencional,0
CSC000007,24.4,22.8,9.5,69,21.9,71,89,5.8,0.64,0.11,0.17,29,2,138,6.2,2.8,17,0.87,0,12.2,16.1,7,727,53,65,95,olivo,aspersion,no,si,convencional,0
CSC000008,20.4,29.4,10.6,74,27.9,58,136,12.6,0.48,0.1,0.17,30,1,261,7.5,1.6,22,1.04,207,8.7,5.2,25,556,22,85,181,citricos,secano,no,si,convencional,0
CSC000009,26.0,27.4,15.6,80,21.8,8,61,11.3,0.59,0.3,0.14,21,3,138,6.5,2.0,33,0.65,0,23.1,0.2,11,653,33,88,33,horticola,secano,si,no,ecologico,0
CSC000010,21.3,36.8,10.3,33,8.8,0,71,14.4,0.45,0.15,0.73,27,3,174,5.3,2.8,30,1.38,733,5.4,0.5,0,1227,55,100,100,trigo,aspersion,no,no,convencional,0
CSC000011,23.4,29.0,10.2,70,24.7,21,90,13.1,0.45,0.24,0.37,20,3,142,6.7,1.5,25,0.57,0,9.2,13.5,11,750,34,39,67,trigo,goteo,si,no,integrado,0
CSC000012,12.7,26.1,16.1,63,21.5,3,0,10.8,0.65,0.46,0.17,35,5,117,7.9,3.2,31,0.21,320,2.0,15.0,27,1239,27,43,89,olivo,secano,si,no,convencional,0
CSC000013,28.3,15.4,6.4,36,17.8,55,42,8.8,0.68,0.23,0.25,46,3,130,6.1,1.5,12,0.34,165,4.4,5.2,28,1003,77,83,82,olivo,aspersion,no,no,ecologico,0
CSC000014,18.7,33.3,12.8,35,18.9,19,0,0.9,0.77,0.1,0.62,26,4,121,5.9,2.7,20,0.6,511,2.5,7.8,1,1025,45,62,105,trigo,aspersion,no,si,integrado,0
CSC000015,23.8,23.8,10.6,56,20.5,17,5,3.1,0.56,0.14,0.14,50,3,194,7.1,3.0,15,0.62,312,19.1,0.2,19,424,43,90,174,maiz,goteo,no,no,ecologico,0
CSC000016,16.7,31.1,9.4,55,14.3,17,86,2.6,0.61,0.06,0.23,32,3,233,6.1,0.9,4,0.46,207,3.2,5.2,14,770,31,66,98,olivo,secano,no,no,convencional,0
CSC000017,29.0,23.1,7.1,65,28.3,66,28,8.8,0.6,0.15,0.11,11,1,199,6.9,2.6,28,1.07,820,11.6,0.2,25,938,68,59,90,trigo,aspersion,no,no,ecologico,0
CSC000018,19.1,32.2,13.4,100,28.8,32,99,0.3,0.44,0.24,0.09,0,3,165,7.3,2.3,20,0.91,631,12.1,19.3,29,807,36,74,30,trigo,secano,no,no,ecologico,0
CSC000019,12.7,31.7,6.6,68,11.1,8,157,3.1,0.65,0.17,0.48,16,3,135,6.8,3.1,18,0.1,100,8.7,6.3,52,639,39,93,151,horticola,aspersion,no,no,integrado,0
CSC000020,16.2,30.6,7.7,91,29.0,38,4,9.3,0.77,0.16,0.37,16,3,176,6.2,2.0,26,0.35,366,16.3,20.1,8,948,28,61,108,vid,aspersion,si,no,integrado,0
CSC000021,20.5,25.9,13.9,47,23.4,43,72,5.1,0.54,0.05,0.34,50,4,170,7.2,0.9,9,1.05,385,0.0,3.7,19,917,40,46,104,trigo,goteo,no,no,ecologico,0
CSC000022,15.6,20.4,16.2,53,18.1,0,133,5.6,0.45,0.12,0.26,44,5,203,6.2,1.6,35,0.1,510,20.4,29.8,5,675,46,65,30,vid,secano,no,no,convencional,0
